"대의동3가","대의동3가"
"대잠동","대잠동"
"대저1동","대저1동"
"대정동","대정동"
"대정읍 상모리","대정읍 상모리"
"대정읍 하모리","대정읍 하모리"
"대조동","대조동"
"대죽동","대죽동"
"대지면 효정리","대지면 효정리"
"대진동","대진동"
"대창동","대창동"
"대창동1가","대창동1가"
"대천동","대천동"
"대청동","대청동"
"대청동1가","대청동1가"
"대청동2가","대청동2가"
"대청동4가","대청동4가"
"대치동","대치동"
"대평동","대평동"
"대평동1가","대평동1가"
"대포동","대포동"
"대현동","대현동"
"대호동","대호동"
"대화동","대화동"
"대화면 대화리","대화면 대화리"
"대흥동","대흥동"
"덕계동","덕계동"
"덕곡동","덕곡동"
"덕명동","덕명동"
"덕산면 두촌리","덕산면 두촌리"
"덕산면 시량리","덕산면 시량리"
"덕산면 옥계리","덕산면 옥계리"
"덕산면 용몽리","덕산면 용몽리"
"덕산면 읍내리","덕산면 읍내리"
"덕산면 합목리","덕산면 합목리"
"덕암동","덕암동"
"덕월동","덕월동"
"덕은동","덕은동"
"덕이동","덕이동"
"덕정동","덕정동"
"덕진동1가","덕진동1가"
"덕진동2가","덕진동2가"
"덕천동","덕천동"
"덕충동","덕충동"
"덕포동","덕포동"
"덕풍동","덕풍동"
"도계동","도계동"
"도계읍 도계리","도계읍 도계리"
"도계읍 전두리","도계읍 전두리"
"도고면 신언리","도고면 신언리"
"도곡동","도곡동"
"도남동","도남동"
"도내동","도내동"
"도농동","도농동"
"도담동","도담동"
"도당동","도당동"
"도동","도동"
"도두일동","도두일동"
"도량동","도량동"
"도련이동","도련이동"
"도련일동","도련일동"
"도룡동","도룡동"
"도림동","도림동"
"도마동","도마동"
"도봉동","도봉동"
"도산동","도산동"
"도선동","도선동"
"도안동","도안동"
"도안면 석곡리","도안면 석곡리"
"도안면 화성리","도안면 화성리"
"도양읍 봉암리","도양읍 봉암리"
"도원동","도원동"
"도지동","도지동"
"도창동","도창동"
"도척면 진우리","도척면 진우리"
"도천동","도천동"
"도천면 송진리","도천면 송진리"
"도촌동","도촌동"
"도통동","도통동"
"도화동","도화동"
"도화면 당오리","도화면 당오리"
"독곡동","독곡동"
"독산동","독산동"
"돈암동","돈암동"
"돌산읍 우두리","돌산읍 우두리"
"동광동5가","동광동5가"
"동교동","동교동"
"동금동","동금동"
"동내면 거두리","동내면 거두리"
"동내면 신촌리","동내면 신촌리"
"동내면 학곡리","동내면 학곡리"
"동대동","동대동"
"동대신동1가","동대신동1가"
"동대신동2가","동대신동2가"
"동대신동3가","동대신동3가"
"동동","동동"
"동두천동","동두천동"
"동림동","동림동"
"동면 금산리","동면 금산리"
"동면 만천리","동면 만천리"
"동면 석산리","동면 석산리"
"동면 장학리","동면 장학리"
"동면 지내리","동면 지내리"
"동명동","동명동"
"동명면 금암리","동명면 금암리"
"동문동","동문동"
"동방동","동방동"
"동백동","동백동"
"동변동","동변동"
"동본동","동본동"
"동부동","동부동"
"동빈1가","동빈1가"
"동빙고동","동빙고동"
"동삭동","동삭동"
"동산동","동산동"
"동삼동","동삼동"
"동상동","동상동"
"동서학동","동서학동"
"동선동1가","동선동1가"
"동선동3가","동선동3가"
